	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986605552972320768	banco do brasil	2018-04-18 14:01:08	-B  ??? ?????	I'm at Banco do Brasil in Nova Iguaçu, RJ https://t.co/3TnuH2MCwH	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='4029837e46e8e369', url='https://api.twitter.com/1.1/geo/id/4029837e46e8e369.json', place_type='city', name='Nova Iguaçu', full_name='Nova Iguaçu, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-43.681932, -22.865838], [-43.366801, -22.865838], [-43.366801, -22.527218], [-43.681932, -22.527218]]]), attributes={})	508	374
986605541094027264	banco do brasil	2018-04-18 14:01:05	Matheus Zaions	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		489	94
986605260021075969	banco do brasil	2018-04-18 13:59:58	Nacho ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		2741	1242
986605058073784320	banco do brasil	2018-04-18 13:59:10	Patrick ??	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		58	133
986604774501093376	banco do brasil	2018-04-18 13:58:03	praga retardada	"Como se já não bastasse o mec, agr o banco do Brasil vai me estressar 
Parabéns executivo federal!"	0	1		23	196
986604654367735808	banco do brasil	2018-04-18 13:57:34	STELINHA	Saudades BB (@ Banco do Brasil) https://t.co/4sTy60skPt	0	0		5216	649
986604634755153920	banco do brasil	2018-04-18 13:57:29	Damásio Cuiabá	"Você viu? O edital para Escriturário do Banco do Brasil foi publicado!
Elaboramos um curso específico e online com aulas bônus.
Comece já seus estudos e esteja mais próximo de conquistar a aprovação.
A prova será realizada dia 13 MAIO. 
? https://t.co/Fv4kTaalH6
#ConcursoBB https://t.co/XEbKjiwAep"	0	1		775	290
986604626047840257	banco do brasil	2018-04-18 13:57:27	Inter 24 horas	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		935	550
986604529276760067	banco do brasil	2018-04-18 13:57:04	JAILSON E. CARNEIRO	"Concordo. 
No entanto, como funcionário aposentado do Banco do Brasil hoje defendo a fusão dos cinco Bancos Federais como forma de otimizar os recursos e a força de trabalho reduzindo cargos em Comissão das Diretorias. BB+CEF+BASA+BNB+BNDES num único Banco Federal do Brasil S.A. https://t.co/GtpItDgnz0"	0	0		173	164
986604135674994688	banco do brasil	2018-04-18 13:55:30	guaianazes baby	a prova eh no mesmo dia q a do banco do brasil https://t.co/fOhbdXD2ZQ	0	0		692	1253
